Команда (HEX);Размер параметра команды (DEC);Тип параметра команды;Значения параметра команды (DEC);Описание команды;Размер параметра ответа (DEC);Тип параметра ответа;Значения параметра ответа (DEC);Описание ответа;Комментарии
60;;;;Ввод заводского номера ;;;;Ввод заводского номера ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;4;number;;Заводской номер ;;;;;
80;;;;Продажа ;;;;Продажа ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;quantity;;Количество ;1;number;;порядковый номер оператора;
;5;money;;Цена ;;;;;
;1;number;;Номер отдела ;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
81;;;;Покупка ;;;;Покупка ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;quantity;;Количество ;1;number;;порядковый номер оператора;
;5;money;;Цена ;;;;;
;1;number;;Номер отдела ;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
82;;;;Возврат продажи ;;;;Возврат продажи ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;quantity;;Количество ;1;number;;порядковый номер оператора;
;5;money;;Цена ;;;;;
;1;number;;Номер отдела ;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
83;;;;Возврат покупки ;;;;Возврат покупки ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;quantity;;Количество ;1;number;;порядковый номер оператора;
;5;money;;Цена ;;;;;
;1;number;;Номер отдела ;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
84;;;;Сторно ;;;;Сторно ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;quantity;;Количество ;1;number;;порядковый номер оператора;
;5;money;;Цена ;;;;;
;1;number;;Номер отдела ;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
85;;;;Закрытие чека ;;;;Закрытие чека ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма наличных ;1;number;;порядковый номер оператора;
;5;money;;Сумма типа оплаты 2;5;money;;Сдача ;
;5;money;;Сумма типа оплаты 3;?;string;;Веб-ссылка ;
;5;money;;Сумма типа оплаты 4;;;;;
;2;moneysigned;;Скидка/Надбавка;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
86;;;;Скидка ;;;;Скидка ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма ;1;number;;порядковый номер оператора;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
87;;;;Надбавка ;;;;Надбавка ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма ;1;number;;порядковый номер оператора;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
88;;;;Аннулирование чека ;;;;Аннулирование чека ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
89;;;;Подытог чека ;;;;Подытог чека ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;5;money;;Подытог чека ;
8a;;;;Сторно скидки ;;;;Сторно скидки ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма ;1;number;;порядковый номер оператора;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
8b;;;;Сторно надбавки ;;;;Сторно надбавки ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма ;1;number;;порядковый номер оператора;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;?;string;;Текст;;;;;
8c;;;;Печать копии чека ;;;;Печать копии чека ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
8d;;;;Открыть чек ;;;;Открыть чек ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Тип документа ;1;number;;порядковый номер оператора;
;;;0;Продажа ;;;;;
;;;1;покупка ;;;;;
;;;2;Возврат продажи ;;;;;
;;;3;Возврат покупки ;;;;;
8e;;;;Закрытие чека расширенное ;;;;Закрытие чека расширенное ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Сумма наличных ;1;number;;порядковый номер оператора;
;5;money;;Сумма типа оплаты 2;5;money;;Сдача ;
;5;money;;Сумма типа оплаты 3;;;;;
;5;money;;Сумма типа оплаты 4;;;;;
;5;money;;Сумма типа оплаты 5;;;;;
;5;money;;Сумма типа оплаты 6;;;;;
;5;money;;Сумма типа оплаты 7;;;;;
;5;money;;Сумма типа оплаты 8;;;;;
;5;money;;Сумма типа оплаты 9;;;;;
;5;money;;Сумма типа оплаты 10;;;;;
;5;money;;Сумма типа оплаты 11;;;;;
;5;money;;Сумма типа оплаты 12;;;;;
;5;money;;Сумма типа оплаты 13;;;;;
;5;money;;Сумма типа оплаты 14;;;;;
;5;money;;Сумма типа оплаты 15;;;;;
;5;money;;Сумма типа оплаты 16;;;;;
;2;moneysigned;;Скидка/Надбавка;;;;;
;1;number;;Налог 1 ;;;;;
;1;number;;Налог 2;;;;;
;1;number;;Налог 3;;;;;
;1;number;;Налог 4;;;;;
;40;string;;Текст;;;;;
b0;;;;Продолжение печати ;;;;Продолжение печати ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
c0;;;;Загрузка графики ;;;;Загрузка графики ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Номер линии ;1;number;;порядковый номер оператора;
;40;;;Графическая информация ;;;;;
c1;;;;Печать графики ;;;;Печать графики ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Начальная линия ;1;number;;порядковый номер оператора;
;1;number;;Конечная линия ;;;;;
c2;;;;Печать штрих-кода EAN-13 ;;;;Печать штрих-кода EAN-13 ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;number;;Штрих-код ;1;number;;порядковый номер оператора;
c3;;;;Печать расширенной графики ;;;;Печать расширенной графики ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;2;number;;Начальная линия ;1;number;;порядковый номер оператора;
;2;number;;Конечная линия ;;;;;
;1;bitfield;;Флаг;;;;;
;;;;Бит 0 – контрольная лента;;;;;
;;;;Бит 1 – чековая лента;;;;;
;;;;Бит 2 – подкладной документ;;;;;
;;;;Бит 3 – слип чек;;;;;
;;;;Бит 4;;;;;
;;;;Бит 5;;;;;
;;;;Бит 6;;;;;
;;;;Бит 7 – отложенная печать графики;;;;;
с4;;;;Загрузка расширенной графики ;;;;Загрузка расширенной графики ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;2;number;;Начальная линия ;1;number;;порядковый номер оператора;
;?;data;;Графическая информация ;;;;;
c5;;;;Печать графической линии (одномерный штрихкод) ;;;;Печать графической линии (одномерный штрихкод) ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;2;number;;Количество повторов линии ;1;number;;порядковый номер оператора;
;1;bitfield;;Флаг;;;;;
;;;;Бит 0 – контрольная лента;;;;;
;;;;Бит 1 – чековая лента;;;;;
;;;;Бит 2 – подкладной документ;;;;;
;;;;Бит 3 – слип чек;;;;;
;;;;Бит 4;;;;;
;;;;Бит 5;;;;;
;;;;Бит 6;;;;;
;;;;Бит 7 – отложенная печать графики;;;;;
;?;data;;Графическая информация ;;;;;
d1;;;;Запрос состояния ФР IBM короткий;;;;;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;8;data;;Состояние принтера;
;;;;;1;number;;Флаг;
;;;;;;;0;Буфер печати ККТ не пуст;
;;;;;;;1;Буфер печати ККТ пуст;
dd;;;;Загрузка данных ;;;;Загрузка данных ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Тип данных ;1;number;;порядковый номер оператора;
;;;0;данные для двумерного штрих-кода ;;;;;
;1;number;;Порядковый номер блока данных ;;;;;
;64;data;;Данные ;;;;;
de;;;;Печать многомерного штрих-кода ;;;;Печать многомерного штрих-кода ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Тип штрих-кода ;1;number;;порядковый номер оператора;
;;;0;PDF 417;1;number;;Параметр 1;
;;;1;DATAMATRIX;1;number;;Параметр 2;
;;;2;AZTEC;1;number;;Параметр 3;
;;;3;QR code;1;number;;Параметр 4;
;;;131;QR code для типа штрих-кода (QR код);1;number;;Параметр 5;
;2;number;;Длина данных штрих-кода ;2;number;;Размер штрих-кода (горизонтальный) в точках ;
;1;number;;Номер начального блока данных ;2;number;;Размер штрих-кода (вертикальный) в точках ;
;1;number;;Параметр 1;;;;;
;1;number;;Параметр 2;;;;;
;1;number;;Параметр 3;;;;;
;1;number;;Параметр 4;;;;;
;1;number;;Параметр 5;;;;;
;1;number;;Выравнивание ;;;;;
;;;0;По левому краю;;;;;
;;;1;По центру;;;;;
;;;2;По правому краю;;;;;
e0;;;;Открыть смену ;;;;Открыть смену ;
;4;number;;пароль оператора;1;number;;порядковый номер оператора;
fc;;;;Получить тип устройства ;;;;Получить тип устройства ;
;;;;;1;number;;Код ошибки ;
;;;;;1;number;;Тип устройства ;
;;;;;1;number;;Подтип устройства ;
;;;;;1;number;;Версия протокола для данного устройства ;
;;;;;1;number;;Подверсия протокола для данного устройства ;
;;;;;1;number;;Модель устройства ;
;;;;;1;number;;Язык устройства ;
;;;;;;;0;русский;
;;;;;;;1;английский;
;;;;;;;2;эстонский;
;;;;;;;3;казахский;
;;;;;;;4;белорусский;
;;;;;;;5;армянский;
;;;;;;;6;грузинский;
;;;;;;;7;украинский;
;;;;;;;8;киргизский;
;;;;;;;9;туркменский;
;;;;;;;10;молдавский;
;;;;;?;string;;Название устройства;
FF 01;;;;Запрос статуса ФН ;;;;Запрос статуса ФН ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;bitfield;;;;;;;
;;;;Состояние фазы жизни ;;;;;
;;;;Бит 0 – проведена настройка ФН ;;;;;
;;;;Бит 1 – открыт фискальный режим ;;;;;
;;;;Бит 2 – закрыт фискальный режим ;;;;;
;;;;Бит 3 – закончена передача фискальных данных в ОФД ;;;;;
;;;;Бит 4;;;;;
;;;;Бит 5;;;;;
;;;;Бит 6;;;;;
;;;;Бит 7;;;;;
;1;number;;Текущий документ ;;;;;
;;;0;нет открытого документа;;;;;
;;;1;отчет о фискализации;;;;;
;;;2;отчет об открытии смены;;;;;
;;;4;кассовый чек;;;;;
;;;8;отчет о закрытии смены;;;;;
;;;16;отчет о закрытии фискального режима;;;;;
;;;17;Бланк строкой отчетности;;;;;
;;;18;Отчет об изменении параметров регистрации ККТ в связи с заменой ФН;;;;;
;;;19;Отчет об изменении параметров регистрации ККТ;;;;;
;;;20;Кассовый чек коррекции;;;;;
;;;21;БСО коррекции;;;;;
;;;23;Отчет о текущем состоянии расчетов;;;;;
;1;number;;Данные документа ;;;;;
;;;0;нет данных документа ;;;;;
;;;1;получены данные документа ;;;;;
;1;number;;Состояние смены ;;;;;
;;;0;смена закрыта ;;;;;
;;;1;смена открыта ;;;;;
;1;number;;Флаг;;;;;
;5;number;;Дата и время ;;;;;
;16;string;;Номер ФН;;;;;
;4;number;;Номер последнего ФД ;;;;;
Ff 02;;;;Запрос номера ФН ;;;;Запрос номера ФН ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;16;string;;Номер ФН;
Ff 03;;;;Запрос срока действия ФН ;;;;Запрос срока действия ФН ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;Срок действия ГГ;
;;;;;1;number;;Срок действия ММ;
;;;;;1;number;;Срок действия ДД;
Ff 04;;;;Запрос версии ФН ;;;;Запрос версии ФН ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;16;string;;версия программного обеспечения ФН;
;;;;;1;number;;Тип программного обеспечения ФН ;
;;;;;;;0;отладочная версия ;
;;;;;;;1;серийная версия ;
Ff 05;;;;Начать отчет о регистрации ККТ ;;;;Начать отчет о регистрации ККТ ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Тип отчета ;;;;;
;;;0;Отчет о регистрации КТТ ;;;;;
;;;1;Отчет об изменении параметров регистрации ККТ, в связи с заменой ФН ;;;;;
;;;2;Отчет об изменении параметров регистрации ККТ без замены ФН ;;;;;
Ff 06;;;;Сформировать отчёт о регистрации ККТ ;;;;Сформировать отчёт о регистрации ККТ ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;12;string;;ИНН ;4;number;;Номер ФД ;
;20;string;;Регистрационный номер ККТ ;4;number;;Фискальный признак ;
;1;number;;Код налогообложения ;;;;;
;1;number;;Режим работы ;;;;;
Ff 07;;;;Сброс состояния ФН ;;;;Сброс состояния ФН ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Код запроса ;;;;;
Ff 08;;;;Отменить документ в ФН ;;;;Отменить документ в ФН ;
;4;number;;пароль оператора;1;error#;;код ошибки;
Ff 09;;;;Запрос итогов фискализации ;;;;Запрос итогов фискализации ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Номер перерегистрации;5;number;;Дата и время ;
;;;;;12;string;;ИНН ;
;;;;;20;string;;Регистрационный номер ККТ ;
;;;;;1;number;;Код налогообложения ;
;;;;;1;number;;Режим работы ;
;;;;;1;number;;Код причины перерегистрации;
;;;;;4;number;;Номер ФД ;
;;;;;4;number;;Фискальный признак ;
ff 0a;;;;Найти фискальный документ по номеру ;;;;Найти фискальный документ по номеру ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;4;number;;Номер ФД ;1;number;;Тип фискального документа ;
;;;;;1;number;;Получена ли квитанция из ОФД ;
;;;;;;;0;нет;
;;;;;;;1;данные;
;;;;;?;data;;Данные фискального документа в зависимости от типа документ ;
ff 0c;;;;Передать произвольную TLV структуру ;;;;Передать произвольную TLV структуру ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;?;TLVData;;TLV Структура ;;;;;
ff 0d;;;;Операция со скидками и надбавками ;;;;Операция со скидками и надбавками ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Тип операции ;;;;;
;;;1;;;;;;
;;;2;;;;;;
;;;3;;;;;;
;;;4;;;;;;
;5;quantity;;Количество;;;;;
;5;money;;Цена;;;;;
;5;money;;Скидка;;;;;
;5;money;;Надбавка;;;;;
;1;number;;Номер отдела;;;;;
;;;255;режим продажи по коду товара ;;;;;
;1;bitfield;;Налог;;;;;
;;;;Бит 0;;;;;
;;;;Бит 1 «0» – нет, «1» – 1 налоговая группа ;;;;;
;;;;Бит 2 «0» – нет, «1» – 2 налоговая группа ;;;;;
;;;;Бит 3 «0» – нет, «1» – 3 налоговая группа ;;;;;
;;;;Бит 4 «0» – нет, «1» – 4 налоговая группа ;;;;;
;;;;Бит 5;;;;;
;;;;Бит 6;;;;;
;;;;Бит 7;;;;;
;5;number;;Штрих-код;;;;;
;220;string;;Текст;;;;;
Ff 34;;;;Сформировать отчёт о перерегистрации ККТ ;;;;Сформировать отчёт о перерегистрации ККТ ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;1;number;;Код причины перерегистрации ;4;number;;Номер ФД ;
;;;;;4;number;;Фискальный признак ;
Ff 35;;;;Начать формирование чека коррекции ;;;;Начать формирование чека коррекции ;
;4;number;;пароль оператора;1;error#;;код ошибки;
Ff 36;;;;Сформировать чек коррекции;;;;Сформировать чек коррекции;
;4;number;;пароль оператора;1;error#;;код ошибки;
;5;money;;Итог чека ;2;number;;Номер чека ;
;1;number;;Тип операции ;4;number;;Номер ФД ;
;;;;;4;number;;Фискальный признак ;
Ff 37;;;;Начать формирование отчёта о состоянии расчётов ;;;;Начать формирование отчёта о состоянии расчётов ;
;4;number;;пароль оператора;1;error#;;код ошибки;
Ff 38;;;;Сформировать отчёт о состоянии расчётов ;;;;Сформировать отчёт о состоянии расчётов ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;4;number;;Номер ФД ;
;;;;;4;number;;Фискальный признак ;
;;;;;4;number;;Количество неподтверждённых документов ;
;;;;;1;number;;Дата первого неподтверждённого документа ГГ;
;;;;;1;number;;Дата первого неподтверждённого документа ММ;
;;;;;1;number;;Дата первого неподтверждённого документа ДД;
Ff 39;;;;Получить статус информационного обмена ;;;;Получить статус информационного обмена ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;bitfield;;Статус информационного обмена (0 – нет, 1 – да);
;;;;;;;;Бит 0 – транспортное соединение установлено ;
;;;;;;;;Бит 1 – есть сообщение для передачи в ОФД ;
;;;;;;;;Бит 2 – ожидание ответного сообщения (квитанции) от ОФД ;
;;;;;;;;Бит 3 – есть команда от ОФД ;
;;;;;;;;Бит 4 – изменились настройки соединения с ОФД ;
;;;;;;;;Бит 5 – ожидание ответа на команду от ОФД;
;;;;;;;;Бит 6;
;;;;;;;;Бит 7;
;;;;;1;number;;Состояние чтения сообщения ;
;;;;;;;0;нет;
;;;;;;;1;да;
;;;;;2;number;;Количество сообщений для ОФД ;
;;;;;4;number;;Номер документа для ОФД первого в очереди ;
;;;;;5;number;;Дата и время документа для ОФД первого в очереди ;
ff 3a;;;;Запросить фискальный документ в TLV формате ;;;;Запросить фискальный документ в TLV формате ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;4;number;;Номер фискального документа ;2;number;;Тип фискального документа ;
;;;;;2;number;;Длина фискального документа ;
ff 3b;;;;Чтение TLV фискального документа ;;;;Чтение TLV фискального документа ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;?;TLVData;;TLV структура ;
ff 3c;;;;Запрос квитанции о получении данных в ОФД по номеру документа ;;;;Запрос квитанции о получении данных в ОФД по номеру документа ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;4;number;;Номер фискального документа ;?;data;;Квитанция;
ff 3d;;;;Начать закрытие фискального режима ;;;;Начать закрытие фискального режима ;
;4;number;;пароль оператора;1;error#;;код ошибки;
ff 3e;;;;Закрыть фискальный режим ;;;;Закрыть фискальный режим ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;4;number;;Номер ФД ;
;;;;;4;number;;Фискальный признак ;
ff 3f;;;;Запрос количества ФД на которые нет квитанции ;;;;Запрос количества ФД на которые нет квитанции ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;2;number;;Количество неподтверждённых ФД ;
Ff 40;;;;Запрос параметров текущей смены ;;;;Запрос параметров текущей смены ;
;4;number;;пароль оператора;1;error#;;код ошибки;
;;;;;1;number;;Состояние смены ;
;;;;;2;number;;Номер смены ;
;;;;;2;number;;Номер чека ;
Ff 41;;;;Начать открытие смены ;;;;Начать открытие смены ;
;4;number;;пароль оператора;1;error#;;код ошибки;
Ff 42;;;;Начать закрытие смены ;;;;Начать закрытие смены ;
;4;number;;пароль оператора;1;error#;;код ошибки;
